Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for bsd-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 02:36:37 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(731296k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2020-10-27T22:21:00.691-0800: 0.586: [GC (Allocation Failure) [PSYoungGen: 131584K->7170K(153088K)] 131584K->7186K(502784K), 0.0060831 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:00.555-0800: 60.450: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196949K->23349K(523776K), 0.0014350 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:00.683-0800: 60.577: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0014163 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:00.812-0800: 60.707: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0018375 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:00.942-0800: 60.836: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0014550 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2020-10-27T22:22:01.075-0800: 60.969: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0015512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:01.204-0800: 61.098: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0014469 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:01.332-0800: 61.226: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0015297 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:01.459-0800: 61.353: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0014496 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:02.028-0800: 61.922: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0015592 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:02.166-0800: 62.060: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0014779 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:02.304-0800: 62.199: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196917K->23381K(523776K), 0.0014261 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:02.432-0800: 62.326: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196949K->23349K(523776K), 0.0015611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:02.558-0800: 62.452: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0013945 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:02.685-0800: 62.580: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0014445 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:02.814-0800: 62.708: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0014910 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:02.941-0800: 62.835: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0017615 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:03.441-0800: 63.335: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196917K->23381K(523776K), 0.0015712 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:03.572-0800: 63.466: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196949K->23349K(523776K), 0.0014968 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:03.703-0800: 63.597: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196917K->23349K(523776K), 0.0016542 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:03.833-0800: 63.727: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196917K->23381K(523776K), 0.0014738 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:03.959-0800: 63.854: [GC (Allocation Failure) [PSYoungGen: 173856K->288K(174080K)] 196949K->23397K(523776K), 0.0021496 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:04.086-0800: 63.981: [GC (Allocation Failure) [PSYoungGen: 173856K->288K(174080K)] 196965K->23397K(523776K), 0.0014977 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:04.216-0800: 64.110: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196965K->23365K(523776K), 0.0015455 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:04.684-0800: 64.578: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196933K->23397K(523776K), 0.0014991 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:04.808-0800: 64.702: [GC (Allocation Failure) [PSYoungGen: 173856K->224K(174080K)] 196965K->23333K(523776K), 0.0016568 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:04.941-0800: 64.835: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196901K->23381K(523776K), 0.0016486 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:05.074-0800: 64.969: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0016237 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:05.207-0800: 65.101: [GC (Allocation Failure) [PSYoungGen: 173819K->256K(174080K)] 196945K->23381K(523776K), 0.0016962 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:05.334-0800: 65.229: [GC (Allocation Failure) [PSYoungGen: 173817K->224K(174080K)] 196943K->23349K(523776K), 0.0014653 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:05.461-0800: 65.355: [GC (Allocation Failure) [PSYoungGen: 173792K->288K(174080K)] 196917K->23413K(523776K), 0.0014821 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:05.587-0800: 65.482: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196981K->23381K(523776K), 0.0015853 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:06.055-0800: 65.949: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0014976 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:06.182-0800: 66.076: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0015106 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:06.309-0800: 66.204: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0014894 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:06.437-0800: 66.331: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0016238 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:06.564-0800: 66.458: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0014824 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:06.689-0800: 66.583: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0014133 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:06.818-0800: 66.712: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0021325 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:06.948-0800: 66.843: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0014852 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:07.523-0800: 67.417: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0014815 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:07.654-0800: 67.548: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0015155 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:07.783-0800: 67.677: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0013572 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:07.907-0800: 67.801: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0014383 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:08.034-0800: 67.928: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0019593 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:08.159-0800: 68.053: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0014504 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:08.287-0800: 68.181: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0014495 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:08.414-0800: 68.308: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0016235 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:08.924-0800: 68.818: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0016477 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:09.053-0800: 68.947: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196949K->23349K(523776K), 0.0016568 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:09.180-0800: 69.074: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196917K->23381K(523776K), 0.0015055 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:09.308-0800: 69.202: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23381K(523776K), 0.0016835 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:09.433-0800: 69.327: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196949K->23397K(523776K), 0.0014394 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:09.561-0800: 69.455: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196965K->23429K(523776K), 0.0014930 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:09.692-0800: 69.586: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196997K->23397K(523776K), 0.0014690 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:09.821-0800: 69.716: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196965K->23365K(523776K), 0.0017350 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:10.533-0800: 70.428: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196933K->23405K(523776K), 0.0014395 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:10.663-0800: 70.557: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196973K->23413K(523776K), 0.0016154 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-27T22:22:10.795-0800: 70.689: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0015636 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:10.921-0800: 70.815: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0015081 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:11.051-0800: 70.945: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0014277 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:11.182-0800: 71.077: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0015878 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:11.313-0800: 71.207: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0014111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:11.439-0800: 71.333: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196981K->23381K(523776K), 0.0014118 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:12.276-0800: 72.170: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196949K->23413K(523776K), 0.0014131 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:12.401-0800: 72.295: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0015052 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:12.524-0800: 72.418: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0017386 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:12.650-0800: 72.545: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0015668 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:12.781-0800: 72.675: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0017606 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:12.908-0800: 72.802: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0016335 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:13.033-0800: 72.928: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0015023 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:13.839-0800: 73.733: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0012988 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:13.961-0800: 73.856: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0013115 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:14.089-0800: 73.983: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196981K->23445K(523776K), 0.0014164 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:14.214-0800: 74.109: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 197013K->23413K(523776K), 0.0013316 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-27T22:22:14.340-0800: 74.235: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196981K->23445K(523776K), 0.0015402 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:14.465-0800: 74.360: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 197013K->23413K(523776K), 0.0016954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:14.590-0800: 74.484: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196981K->23445K(523776K), 0.0015408 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:14.716-0800: 74.610: [GC (Allocation Failure) [PSYoungGen: 173856K->288K(174080K)] 197013K->23445K(523776K), 0.0014805 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:15.670-0800: 75.565: [GC (Allocation Failure) [PSYoungGen: 173856K->288K(174080K)] 197013K->23445K(523776K), 0.0015916 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:15.793-0800: 75.687: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 197013K->23413K(523776K), 0.0015118 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:15.921-0800: 75.815: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196981K->23445K(523776K), 0.0019680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:16.050-0800: 75.944: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 197013K->23413K(523776K), 0.0016523 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:16.175-0800: 76.069: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0015657 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:16.300-0800: 76.194: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23413K(523776K), 0.0016967 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:16.436-0800: 76.331: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196981K->23445K(523776K), 0.0016661 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:16.577-0800: 76.471: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 197013K->23413K(523776K), 0.0016778 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-27T22:22:16.707-0800: 76.601: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196981K->23421K(523776K), 0.0017257 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:16.840-0800: 76.734: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196989K->23429K(523776K), 0.0017117 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:16.975-0800: 76.869: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196997K->23437K(523776K), 0.0020814 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:17.111-0800: 77.005: [GC (Allocation Failure) [PSYoungGen: 173824K->192K(174080K)] 197005K->23373K(523776K), 0.0024540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:17.276-0800: 77.170: [GC (Allocation Failure) [PSYoungGen: 173760K->256K(174080K)] 196941K->23437K(523776K), 0.0020769 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:17.422-0800: 77.316: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 197005K->23437K(523776K), 0.0015859 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:17.557-0800: 77.451: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 197005K->23437K(523776K), 0.0017812 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:21.012-0800: 80.906: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 197005K->23437K(523776K), 0.0018212 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:21.147-0800: 81.041: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 197005K->23405K(523776K), 0.0018900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:21.284-0800: 81.178: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 196973K->23437K(523776K), 0.0014489 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:21.458-0800: 81.352: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 197005K->23453K(523776K), 0.0014454 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:21.600-0800: 81.494: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 197021K->23469K(523776K), 0.0013043 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:21.730-0800: 81.624: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 197037K->23541K(523776K), 0.0017952 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:21.855-0800: 81.750: [GC (Allocation Failure) [PSYoungGen: 173856K->224K(174080K)] 197109K->23477K(523776K), 0.0015328 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:21.981-0800: 81.875: [GC (Allocation Failure) [PSYoungGen: 173792K->256K(174080K)] 197045K->23509K(523776K), 0.0016455 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:23.950-0800: 83.844: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 197077K->23533K(523776K), 0.0013077 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:24.074-0800: 83.968: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 197101K->23533K(523776K), 0.0014653 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:24.203-0800: 84.097: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 197101K->23533K(523776K), 0.0013697 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:24.329-0800: 84.223: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 197101K->23565K(523776K), 0.0016085 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:24.453-0800: 84.347: [GC (Allocation Failure) [PSYoungGen: 173856K->224K(174080K)] 197133K->23501K(523776K), 0.0014702 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:24.576-0800: 84.470: [GC (Allocation Failure) [PSYoungGen: 173792K->288K(174080K)] 197069K->23565K(523776K), 0.0014287 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:24.703-0800: 84.597: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 197133K->23533K(523776K), 0.0015104 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:25.501-0800: 85.395: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 197101K->23533K(523776K), 0.0020646 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:25.626-0800: 85.520: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 197101K->23549K(523776K), 0.0016214 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:25.749-0800: 85.643: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 197117K->23549K(523776K), 0.0014283 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:22:25.873-0800: 85.767: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 197117K->23549K(523776K), 0.0014368 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:22:25.999-0800: 85.893: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 197117K->23549K(523776K), 0.0014719 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
Heap
 PSYoungGen      total 174080K, used 15278K [0x00000007b5580000, 0x00000007c0000000, 0x00000007c0000000)
  eden space 173568K, 8% used [0x00000007b5580000,0x00000007b642bb98,0x00000007bff00000)
  from space 512K, 50% used [0x00000007bff80000,0x00000007bffc0000,0x00000007c0000000)
  to   space 512K, 0% used [0x00000007bff00000,0x00000007bff00000,0x00000007bff80000)
 ParOldGen       total 349696K, used 23293K [0x00000007a0000000, 0x00000007b5580000, 0x00000007b5580000)
  object space 349696K, 6% used [0x00000007a0000000,0x00000007a16bf680,0x00000007b5580000)
 Metaspace       used 36621K, capacity 38544K, committed 38704K, reserved 1083392K
  class space    used 4575K, capacity 4907K, committed 4912K, reserved 1048576K
